🕘️更新时间,#genre#
2025-09-05 18:50:11,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8$订阅源

央视,#genre#
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8$订阅源
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8$订阅源
CGTN法语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8$订阅源
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8$订阅源
CGTN阿语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8$订阅源

卫视,#genre#
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8$订阅源
北京卫视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8$订阅源
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$订阅源
重庆卫视,http://satellitepull.cnr.cn/live/wxcqws/playlist.m3u8$订阅源
东方卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=dfws$订阅源
东方卫视,http://113.26.202.52:1299/tsfile/live/0107_1.m3u8$订阅源
东方卫视,http://113.57.111.4:1111/tsfile/live/1018_1.m3u8$订阅源
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8$订阅源
东南卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=dnws$订阅源
东南卫视,http://113.25.252.226:9901/tsfile/live/0137_1.m3u8$订阅源
东南卫视,http://113.57.111.4:1111/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
东南卫视,http://lt.hxtre.com:35455/bptv/10000100000000050000000003873473.m3u8$订阅源
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8$订阅源
甘肃卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gsws$订阅源
甘肃卫视,http://lt.hxtre.com:35455/bptv/10000100000000050000000003887450.m3u8$订阅源
甘肃卫视,http://113.25.252.226/rtp/239.1.1.51:8051$山西电信组播源-cache:113.25.252.226-组播源
甘肃卫视,http://113.57.111.4/rtp/228.0.0.57:6108$湖北联通组播源-cache:113.57.111.4-组播源
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4$订阅源
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8$订阅源
广东卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=gdws$订阅源
广东卫视,http://113.26.202.52:1299/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://113.57.111.4:1111/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东卫视,http://lt.hxtre.com:35455/itv/1000000005000265034.m3u8?cdn=ystenlive$订阅源
广东卫视,http://113.25.252.226/rtp/239.1.1.49:8049$山西电信组播源-cache:113.25.252.226-组播源
